Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,0.01,0.04,0.07,-0.01,-0.12,-0.24,-0.16,0.07,-0.04,-0.14,0.01,0.06,-0.04,,,-0.02,-0.11,-0.06
1881,-0.07,-0.05,0.1,0.1,0.1,-0.05,-0.07,-0.01,-0.03,0.01,0.01,0.1,0.01,0.01,-0.02,0.1,-0.04,-0.01
1882,0.08,0.08,0.08,-0.01,-0.03,-0.15,-0.04,0.02,-0.04,0.04,0,-0.06,0,0.01,0.09,0.01,-0.06,0
1883,-0.01,-0.07,-0.08,-0.06,-0.09,-0.02,-0.08,-0.05,-0.1,-0.05,-0.04,-0.05,-0.06,-0.06,-0.05,-0.08,-0.05,-0.06
1884,-0.08,-0.05,-0.09,-0.21,-0.31,-0.29,-0.21,-0.06,-0.11,-0.06,-0.1,-0.14,-0.14,-0.13,-0.06,-0.2,-0.19,-0.09
1885,-0.19,-0.22,-0.29,-0.35,-0.32,-0.42,-0.33,-0.22,-0.19,-0.12,-0.1,-0.09,-0.24,-0.24,-0.18,-0.32,-0.32,-0.14
1886,-0.13,-0.19,-0.16,-0.19,-0.15,-0.31,-0.21,-0.18,-0.14,-0.23,-0.14,-0.28,-0.19,-0.18,-0.14,-0.17,-0.23,-0.17
1887,-0.36,-0.43,-0.27,-0.3,-0.34,-0.27,-0.26,-0.16,-0.29,-0.21,-0.24,-0.22,-0.28,-0.29,-0.36,-0.3,-0.23,-0.25
1888,-0.2,-0.12,-0.21,-0.19,-0.28,-0.31,-0.2,-0.09,-0.04,0.07,0.07,0.15,-0.11,-0.14,-0.18,-0.23,-0.2,0.03
1889,0.09,0.04,0.13,0.03,0.02,-0.13,-0.06,-0.19,-0.17,-0.09,-0.05,-0.03,-0.03,-0.02,0.09,0.06,-0.13,-0.1
1890,-0.2,-0.32,-0.33,-0.34,-0.43,-0.32,-0.32,-0.38,-0.38,-0.39,-0.24,-0.16,-0.32,-0.31,-0.18,-0.37,-0.34,-0.34
1891,-0.2,-0.25,-0.2,-0.19,-0.17,-0.28,-0.23,-0.22,-0.23,-0.15,-0.1,-0.05,-0.19,-0.2,-0.2,-0.18,-0.24,-0.16
1892,-0.08,-0.05,-0.13,-0.21,-0.23,-0.38,-0.25,-0.21,-0.13,0,-0.03,-0.11,-0.15,-0.15,-0.06,-0.19,-0.28,-0.05
1893,-0.12,-0.17,-0.11,-0.24,-0.24,-0.32,-0.14,-0.17,-0.16,-0.08,-0.03,-0.02,-0.15,-0.16,-0.13,-0.2,-0.21,-0.09
1894,-0.13,-0.15,-0.23,-0.35,-0.34,-0.4,-0.26,-0.2,-0.22,-0.17,-0.03,-0.06,-0.21,-0.21,-0.1,-0.31,-0.28,-0.14
1895,-0.12,-0.05,-0.16,-0.24,-0.23,-0.21,-0.14,-0.06,-0.18,-0.11,-0.2,-0.05,-0.15,-0.15,-0.08,-0.21,-0.14,-0.16
1896,-0.07,-0.06,-0.03,-0.01,-0.14,-0.28,-0.04,0.01,-0.01,0.1,0.13,0.13,-0.02,-0.04,-0.06,-0.06,-0.1,0.07
1897,0.1,0.08,0.12,0.01,-0.15,-0.16,-0.07,-0.11,-0.1,-0.09,-0.09,-0.12,-0.05,-0.03,0.1,-0.01,-0.11,-0.09
1898,-0.09,-0.15,-0.23,-0.33,-0.33,-0.29,-0.32,-0.36,-0.25,-0.31,-0.25,-0.2,-0.26,-0.25,-0.12,-0.29,-0.32,-0.27
1899,-0.19,-0.12,-0.13,-0.17,-0.22,-0.27,-0.15,-0.1,-0.04,-0.11,-0.09,-0.06,-0.14,-0.15,-0.17,-0.17,-0.17,-0.08
1900,-0.09,0.03,-0.04,-0.07,-0.12,-0.09,-0.12,-0.07,-0.06,-0.01,0.01,-0.09,-0.06,-0.06,-0.04,-0.08,-0.09,-0.02
1901,-0.1,-0.12,-0.14,-0.15,-0.18,-0.24,-0.28,-0.24,-0.17,-0.26,-0.12,-0.14,-0.18,-0.17,-0.1,-0.15,-0.25,-0.18
